frame,totalBSA,polarBSA,nonPolarBSA,totalPercent,polarPercent,nonPolarPercent
1,1766.3,825.4,940.8,28.16,46.73,53.26
2,1452.1,612.3,839.9,25.05,42.17,57.84
3,1679.6,770.7,908.9,26.72,45.89,54.11
4,1845.1,832.5,1012.4,28.67,45.12,54.87
5,1783.0,774.3,1008.8,27.11,43.43,56.58
6,1586.6,687.2,899.3,24.94,43.31,56.68
7,1789.5,699.2,1090.3,26.61,39.07,60.93
8,1996.4,756.8,1239.6,27.27,37.91,62.09
9,1812.8,664.8,1148.0,26.32,36.67,63.33
10,1731.1,731.5,999.5,23.93,42.26,57.74
11,1959.8,829.1,1130.7,25.22,42.31,57.69
12,1909.7,760.5,1149.3,25.92,39.82,60.18
13,1682.8,682.3,1000.5,25.59,40.55,59.45
14,1681.3,636.1,1045.2,24.17,37.83,62.17
15,1739.6,686.6,1052.9,26.61,39.47,60.53
16,1679.0,653.0,1026.0,24.08,38.89,61.11
17,1841.6,706.9,1134.8,27.93,38.39,61.62
18,1845.1,661.0,1184.1,26.47,35.82,64.18
19,1996.5,796.9,1199.7,29.49,39.91,60.09
20,1924.2,754.8,1169.2,27.99,39.23,60.76
21,1810.8,637.4,1173.4,27.17,35.2,64.8
22,1921.9,772.0,1149.9,28.96,40.17,59.83
